species_common_name,type,species_code,species_science_name,itis_tsn,taxonomic_rank,parent_taxonomic_unit,worms_id
shortbelly rockfish,B,423,sebastes jordani,166725,species,sebastes,274806
popeye,B,250,coryphaenoides cinereus,165335,species,macrouridae(grenadiers),272326
north pacific spiny dogfish,A,044,squalus suckleyi,160617,species,squalidae(dogfish sharks),299224
big skate,A,056,beringraja binoculata,160848,species,rajidae(skates),1021330
longnose skate,A,059,raja rhina,160851,species,rajidae(skates),271581
pacific cod,A,222,gadus macrocephalus,164711,species,gadidae,254538
pacific hake,A,225,merluccius productus,164792,species,NA,272458
walleye pollock,A,228,gadus chalcogrammus,934083,species,gadidae,300735
rougheye/blackspotted rockfish complex,A,394,sebastes aleutianus/melanostictus complex,166706,"not a taxonomic classification, old historic codes",sebastes,unknown
pacific ocean perch,A,396,sebastes alutus,166707,species,sebastes,254573
redbanded rockfish,A,401,sebastes babcocki,166710,species,sebastes,274775
shortraker rockfish,A,403,sebastes borealis,166712,species,sebastes,274777
silvergray rockfish,A,405,sebastes brevispinis,166711,species,sebastes,274778
copper rockfish,A,407,sebastes caurinus,166713,species,sebastes,274780
darkblotched rockfish,A,410,sebastes crameri,166715,species,sebastes,274785
widow rockfish,A,417,sebastes entomelas,166719,species,sebastes,274791
yellowtail rockfish,A,418,sebastes flavidus,166720,species,sebastes,274795
quillback rockfish,A,424,sebastes maliger,166726,species,sebastes,274815
bocaccio,A,435,sebastes paucispinis,166733,species,sebastes,274833
canary rockfish,A,437,sebastes pinniger,166734,species,sebastes,274836
redstripe rockfish,A,439,sebastes proriger,166736,species,sebastes,274838
yellowmouth rockfish,A,440,sebastes reedi,166737,species,sebastes,274840
yelloweye rockfish,A,442,sebastes ruberrimus,166740,species,sebastes,274844
shortspine thornyhead,A,451,sebastolobus alascanus,166783,species,sebastolobus(thornyheads),282740
longspine thornyhead,A,453,sebastolobus altivelis,166784,species,sebastolobus(thornyheads),282741
sablefish,A,455,anoplopoma fimbria,167123,species,anoplopomatidae(sablefishes),159463
lingcod,A,467,ophiodon elongatus,167116,species,hexagrammidae(greenlings),240745
arrowtooth flounder,A,602,atheresthes stomias,172862,species,pleuronectidae(righteye flounders),279792
petrale sole,A,607,eopsetta jordani,172868,species,pleuronectidae(righteye flounders),280690
rex sole,A,610,glyptocephalus zachirus,172978,species,pleuronectidae(righteye flounders),274287
pacific halibut,A,614,hippoglossus stenolepis,172932,species,NA,274290
southern rock sole,A,621,lepidopsetta bilineata,172917,species,pleuronectidae(righteye flounders),281305
dover sole,A,626,microstomus pacificus,172887,species,pleuronectidae(righteye flounders),274294
english sole,A,628,parophrys vetulus,172921,species,pleuronectidae(righteye flounders),254393
bluntnose sixgill shark,B,027,hexanchus griseus,159819,species,hexanchidae(cow sharks),105833
basking shark,B,034,cetorhinus maximus,159907,species,cetorhinidae(basking shark),105837
salmon shark,B,036,lamna ditropis,159910,species,lamnidae(mackerel sharks),271421
brown cat shark,B,038,apristurus brunneus,159988,species,scyliorhinidae(cat sharks),158512
blue shark,B,041,prionace glauca,160424,species,carcharhinidae(requiem sharks),105801
pacific sleeper shark,B,043,somniosus pacificus,160610,species,somniosidae,271654
aleutian skate,B,052,bathyraja aleutica,160935,species,bathyraja,271506
abyssal skate,B,054,bathyraja abyssicola,564114,species,bathyraja,271503
broad skate,B,055,amblyraja badia,564124,species,rajidae(skates),271499
roughtail skate,B,057,bathyraja trachura,160942,species,bathyraja,271538
sandpaper skate,B,058,bathyraja interrupta,160937,species,bathyraja,271515
alaska skate,B,061,bathyraja parmifera,160939,species,bathyraja,271528
spotted ratfish,B,066,hydrolagus colliei,161015,species,chimaeridae(ratfishes),271406
whitebait smelt,B,138,allosmerus elongatus,162053,species,osmeridae(smelts),279564
pacific flatnose,B,220,antimora microlepis,164673,species,moridae(deepsea cods),272460
pacific tomcod,B,226,microgadus proximus,164719,species,gadidae,275873
bigfin eelpout,B,233,lycodes cortezianus,550588,species,zoarcidae(eelpouts),274097
twoline eelpout,B,235,bothrocara brunneum,165219,species,zoarcidae(eelpouts),279397
shortfin eelpout,B,242,lycodes brevipes,165258,species,zoarcidae(eelpouts),254595
black eelpout,B,243,lycodes diapterus,165261,species,zoarcidae(eelpouts),254597
wattled eelpout,B,244,lycodes palearis,165265,species,zoarcidae(eelpouts),254585
blackbelly eelpout,B,245,lycodes pacificus,630999,species,zoarcidae(eelpouts),274116
pacific grenadier,B,251,coryphaenoides acrolepis,165334,species,macrouridae(grenadiers),272313
threadfin grenadier,B,254,coryphaenoides filifer,649753,species,macrouridae(grenadiers),272331
giant grenadier,B,256,albatrossia pectoralis,165427,species,macrouridae(grenadiers),236135
california grenadier,B,257,nezumia stelgidolepis,165400,species,macrouridae(grenadiers),272428
shiner perch,B,304,cymatogaster aggregata,169739,species,embiotocidae(surfperches),280461
pearly prickleback,B,331,bryozoichthys marjorius,171576,species,stichaeidae(pricklebacks),254575
snake prickleback,B,337,lumpenus sagitta,171583,species,stichaeidae(pricklebacks),254579
whitebarred prickleback,B,340,poroclinus rothrocki,171594,species,stichaeidae(pricklebacks),254385
wolf eel,B,351,anarrhichthys ocellatus,171345,species,anarhichadidae(wolffishes),279605
giant wrymouth,B,355,cryptacanthodes giganteus,171612,species,cryptacanthodidae(wrymouths),276392
dwarf wrymouth,B,356,cryptacanthodes aleutensis,171610,species,cryptacanthodidae(wrymouths),276390
prowfish,B,359,zaprora silenus,171659,species,zaproridae(prowfishes),254353
pacific sand lance,B,361,ammodytes personatus,630414,species,ammodytidae(sand lances),272967
ragfish,B,386,icosteus aenigmaticus,171663,species,icosteidae(ragfishes),281153
aurora rockfish,B,400,sebastes aurora,166709,species,sebastes,274774
dusky rockfish,B,409,sebastes variabilis,644604,species,sebastes,398442
splitnose rockfish,B,412,sebastes diploproa,166716,species,sebastes,274787
greenstriped rockfish,B,414,sebastes elongatus,166717,species,sebastes,274788
puget sound rockfish,B,415,sebastes emphaeus,166718,species,sebastes,274789
chilipepper,B,420,sebastes goodei,166722,species,sebastes,274798
rosethorn rockfish,B,421,sebastes helvomaculatus,166723,species,sebastes,274799
black rockfish,B,426,sebastes melanops,166727,species,sebastes,274817
blackgill rockfish,B,427,sebastes melanostomus,166728,species,sebastes,274819
vermilion rockfish,B,428,sebastes miniatus,166729,species,sebastes,274820
deacon rockfish,B,429,sebastes diaconus,NA,species,sebastes,1384909
china rockfish,B,431,sebastes nebulosus,166731,species,sebastes,274824
tiger rockfish,B,433,sebastes nigrocinctus,166732,species,sebastes,274825
stripetail rockfish,B,444,sebastes saxicola,166741,species,sebastes,274848
harlequin rockfish,B,446,sebastes variegatus,166742,species,sebastes,274863
pygmy rockfish,B,448,sebastes wilsoni,166743,species,sebastes,274868
sharpchin rockfish,B,450,sebastes zacentrus,166744,species,sebastes,274869
kelp greenling,B,461,hexagrammos decagrammus,167110,species,hexagrammidae(greenlings),240732
whitespotted greenling,B,466,hexagrammos stelleri,167113,species,hexagrammidae(greenlings),254545
spinyhead sculpin,B,497,dasycottus setiger,167265,species,cottidae(sculpins),280488
buffalo sculpin,B,499,enophrys bison,167267,species,cottidae(sculpins),275355
red irish lord,B,502,hemilepidotus hemilepidotus,167279,species,hemilepidotus,254521
bigmouth sculpin,B,505,hemitripterus bolini,167287,species,cottidae(sculpins),254541
threadfin sculpin,B,510,icelinus filamentosus,167293,species,icelinus,281136
spotfin sculpin,B,513,icelinus tenuis,167294,species,icelinus,281142
pacific staghorn sculpin,B,518,leptocottus armatus,167302,species,cottidae(sculpins),254345
blackfin sculpin,B,519,malacocottus kincaidi,167304,species,cottidae(sculpins),279442
great sculpin,B,521,myoxocephalus polyacanthocephalus,167315,species,cottidae(sculpins),254528
thornback sculpin,B,532,paricelinus hopliticus,167338,species,cottidae(sculpins),282147
giant blobsculpin,B,534,psychrolutes phrictus,167414,species,cottidae(sculpins),274678
slim sculpin,B,535,radulinus asprellus,167347,species,radulinus,282541
cabezon,B,540,scorpaenichthys marmoratus,692068,species,cottidae(sculpins),282726
sturgeon poacher,B,550,podothecus accipenserinus,644358,species,agonidae(poachers),254501
smootheye poacher,B,555,xeneretmus leiops,167469,species,agonidae(poachers),283172
blacktail snailfish,B,574,careproctus melanurus,167504,species,careproctus,254549
pacific sanddab,B,596,citharichthys sordidus,172716,species,paralichthyidae(lefteye flounders),275694
deepsea sole,B,605,embassichthys bathybius,172866,species,pleuronectidae(righteye flounders),280641
flathead sole,B,612,hippoglossoides elassodon,172875,species,pleuronectidae(righteye flounders),274289
butter sole,B,619,isopsetta isolepis,172919,species,pleuronectidae(righteye flounders),281189
slender sole,B,625,lyopsetta exilis,172871,species,pleuronectidae(righteye flounders),281452
starry flounder,B,631,platichthys stellatus,172893,species,pleuronectidae(righteye flounders),154781
c-o sole,B,633,pleuronichthys coenosus,172923,species,pleuronectidae(righteye flounders),282290
curlfin sole,B,635,pleuronichthys decurrens,172924,species,pleuronectidae(righteye flounders),282292
sand sole,B,636,psettichthys melanostictus,172928,species,pleuronectidae(righteye flounders),282396
tope shark,B,040,galeorhinus galeus,160181,species,triakidae(houndsharks),105801
eulachon,B,148,thaleichthys pacificus,162051,species,osmeridae(smelts),282959
# requiem sharks,B,039,carcharhinidae,160178,family,chondrichthyes,105689
