Year,General,Fishing gear,Sorting protocol
1973,"Timing: Late April, early May 30::Tow duration: 30 minute::Depth range: 50--200 m::Navigation system: Loran A::Vessel: CCGS G.B Reed","Net: 70' semi-balloon::Foot rope: bobbin and roller::Doors: 3.5 x 8.5 ft wood","Large fish removed from catch and their weight estimated (e.g., Pacific Spiny Dogfish, Arrowtooth Flounder). Mix of small fish, shrimp, and other invertebrates were placed in baskets that were counted. One or two baskets were sorted and weighed to extrapolate catch weights"
1974,No survey,,
1976,,,A random selection of 3--4 baskets per tow were weighed to determine an average basket weight.
1977,,Net changed: to NMFS shrimp trawl.::Foot rope changed: from bobbin and rollers to chain footrope with a tickler chain in front. A tickler chain is shorter than the footrope and causes shrimp to ‘jump’ of the bottom into the net.::Doors changed: to 5.5 x 8.5 Nor’eastern Astoria otter trawl V-doors.::No calibration tows completed.,
1977--78,Additional surveys conducted in September (data are found in GFBio and have been filtered out of this report's analysis),,
1978,,,"Large fish weighed instead of estimated. Each basket of mixed small fish, shrimp, and other invertebrates weighed."
1979,Navigation systems changed: from Loran A to Loran C,,
1980,,,Shrimp biological samples begin
1984,No survey,,
1985,Survey timing (May 24--June 7),,
1986,No survey,,
1987,"Survey timing (Aug 4--14);::Vessel change: W.E. Ricker",,
1989,"Limited survey area: Area 125OFF not surveyed;::Commercial vessel used: F/V Sharelene K",,
1991,Limited survey area: Area 125OFF not surveyed,,
1998,Navigation systems: from Loran C to GPS,,
2000,,,Eulachon biological samples begin
Early 2000s,,Third wire trawl eye used for net mensuration. Exact year is not known.,
2001,,,"Full catch sorted on conveyor belt. Large species sorted and weighed. Whenever possible, the mix of small fish, shrimp, and other invertebrates was sorted and weighed. If sorting the mix was too time consuming, a ~10 kg subsample was sorted and weighed."
2001--03,,,Gradual increase in the detail of species identification. Concerted effort to identify catch to species instead of higher taxonomic groupings such as the family.
2003,,,Standard protocol for catch to identify to the lowest possible taxonomic level. Groundfish biological samples begin.
2005,Commercial vessel used: F/V Frosti,,
2006,,Net changed: to 61’ American net.::Footgear changed: to rubber cookies with no tickler chain.::Two replicate tows made to compare net catches.,
2007,,Tickler chain added to footgear.,
2009,,,Electronic data capture using GFBioField
2011,,Doors changed: from Astoria V to 76’ Thyboron Type 2 Heavy,
2013,Tow duration reduced: from 30 min to 20 min,Wireless net monitoring system implemented. Use of third wire trawl eye discontinued.,
2017--19,Commercial vessel used: F/V Nordic Pearl,,
2020,No survey COVID-19,,
2021,Vessel change: CCGS Sir John Franklin,Scanmar net monitoring system,600 kg bin scale allows full weighing of most tows instead of visual or other estimation methods for large catches.
