"","survey","surveys_conducted_since_2008"
"1","Queen Charlotte Sound Multispecies Small-mesh Bottom Trawl",7
"2","West Coast Vancouver Island Multispecies Small-mesh Bottom Trawl",11
"3","Strait of Georgia Ecosystem Research Initiative Acoustic",4
"4","Sablefish Research and Assessment",3
"5","Hard Bottom Longline Inside North ",5
"6","Hard Bottom Longline Inside South ",5
"7","Inlet Standardized Sablefish Trap",11
"8","Offshore Standardized Sablefish Trap",3
"9","Offshore Stratified Random Sablefish Trap",11
"10","Strait of Georgia Synoptic Bottom Trawl",2
"11","Joint Canada/US Hake Acoustic",8
"12","Strait of Georgia Dogfish Longline",3
"13","Eulachon Migration Study Bottom Trawl (South)",2
