species_common_name,resdoc,sar,type_other_ref,other_ref,cosewic_status_reports
abyssal skate,,,,,
alaska skate,,,,,
aleutian skate,,,,,
arrowtooth flounder,grandin2017arrowtooth,dfo2015arrowtooth,,,
basking shark,mcfarlane2008basking,,Species at Risk Act Recovery Strategy,dfo2011baskingshark,cosewic2007baskingshark
big skate,king2015biglongnoseskate,dfo2014biglongnoseskate,,,
bigfin eelpout,,,,,
black eelpout,,,,,
blackbelly eelpout,,,,,
blue shark,,,,,cosewic2016blueshark
bluntnose sixgill shark,,,,,cosewic2007bluntnose
bocaccio,stanley2012bocaccio,dfo2012bocaccio,,,cosewic2002bocaccio
broad skate,,,,,
brown cat shark,,,,,
canary rockfish,stanley2009canary,dfo2009canary,,,cosewic2007canary
copper rockfish,,,Technical Report,stocker1995copper,
darkblotched rockfish,haigh2008darkblotched,,,,cosewic2010darkblotched
dover sole,,dfo1999dover,,,
english sole,starr2009english,dfo1999english5CD,,,
giant grenadier,,,,,
giant wrymouth,,,,,
lingcod,"king2011lingOutside, holt2016lingSOG","dfo2011lingOutside, dfo2015lingSOG",,,
longnose skate,king2015biglongnoseskate,dfo2014biglongnoseskate,,,
longspine thornyhead,haigh2005longspineidiots,,Species at Risk Act Management Plan Series,dfo2012longspineidiots,cosewic2007longspine
north pacific spiny dogfish,galluci2011dogfish,dfo2010dogfish,,,cosewic2011dogfish
pacific cod,"forrest2015pcod, forrest2019pcod","dfo2019pcod3cd5abcd",,,
pacific flatnose,,,,,
pacific grenadier,,,,,
pacific hake,edwards2018hake,,,,
pacific ocean perch,"edwards2013pophg, edwards2014popwcvi, haigh2018popqcs","dfo2013popwcvihg, dfo2017popqcs",,,
pacific sleeper shark,,,,,
pacific tomcod,,,,,
petrale sole,starr2009petrale,dfo1998petrale,,,
quillback rockfish,yamanaka2011quillback,dfo2011quillback,,,cosewic2009quillback
redbanded rockfish,edwards2017redbanded,,,,
redstripe rockfish,schnute1999redstripe,dfo2018redstripe,,,
rex sole,,,,,
rougheye/blackspotted rockfish complex,haigh2005rougheye,dfo1999rougheye,Species at Risk Act Management Plan Series,dfo2012rougheyeblackspotted,cosewic2007rougheye
roughtail skate,,,,,
sablefish,cox2011sablefish,dfo2017sablefish,,,
salmon shark,,,,,
sandpaper skate,,,,,
shiner perch,,,,,
shortfin eelpout,,,,,
shortraker rockfish,schnute1999shortraker,dfo1999shortraker,,,
shortspine thornyhead,starr2015shortspineidiots,dfo2016shortspineidiots,,,
silvergray rockfish,starr2016silvergray,dfo2014silvergray,,,
snake prickleback,,,,,
southern rock sole,holt2016rocksole,dfo2014rocksole,,,
spotted ratfish,,,,,
threadfin grenadier,,,,,
twoline eelpout,,,,,
walleye pollock,starr2017pollock,dfo2018pollock,Pacific Scientific Advice Review Committee (PSARC) assessment,saunders1998pollock,
wattled eelpout,,,,,
whitebait smelt,,,,,
whitebarred prickleback,,,,,
widow rockfish,stanley1999widow,dfo1999widow,,,
wolf eel,,,,,
yelloweye rockfish,"yamanaka2011yelloweyeinside, yamanaka2018yelloweyeoutside","dfo2011yelloweyeinside, dfo2015yelloweyeoutside",Pre-COSEWIC Review,keppel2018yelloweye,cosewic2008yelloweye
yellowmouth rockfish,edwards2012yellowmouth,dfo2011yellowmouth,,,cosewic2010yellowmouth
yellowtail rockfish,,dfo2015yellowtail,,,
tope shark,,,,,cosewic2007tope
pacific halibut,,,IPHC Report of Assessment and Research Activities,iphc2017,
